HVM,,,,,,,,,,,,,
,Violeta Čalić ,W35 ,OK Vihor,CRO,  ,,,,113:55 ,(12),,disq ,
,Ana Delić ,W35 ,OK Jelen,CRO,  ,,,,dns ,,,disq ,
,Sabina Seražin Korper ,W35 ,OK Jelen,CRO,  ,,,,83:27 ,(8),,disq ,
,Sonja Lesjak ,W35 ,OK Japetic,CRO,  ,,,,66:46 ,(5),,disq ,
,Željka Fištrek ,W35 ,OK Kapela,CRO,  ,59:58 ,(1),,,,,disq ,
,Ivana Sertić ,W35 ,OK Kapela,CRO,  ,,,,115:34 ,(13),,disq ,
,,,,,,,,,,,,,
W45,,,,,,,,,,,,,
1.,Ivana Gobec ,W45 ,OK Vihor,CRO,  ,56:15 ,(2),,55:45 ,(1),,112:00 ,
2.,Marija Jazvić Mioković ,W45 ,OK Kapela,CRO,  ,65:17 ,(3),,109:39 ,(5),,174:56 ,+62:56
3.,Marija Schubert ,W45 ,Orijentacijski klub Varaždin,CRO,  ,89:56 ,(4),,99:56 ,(3),,189:52 ,+77:52
,Evelyn Kraintz ,W45 ,OK Maksimir,CRO,  ,,,,146:24 ,(10),,disq ,
,Mirta Boban ,W45 ,OK Ivan Merz,CRO,  ,dns ,,,dns ,,,disq ,
,Gabrijela Baburek ,W45 ,OK Japetic,CRO,  ,,,,dns ,,,disq ,
,Zvjezdana Govedarica ,W45 ,OK Japetic,CRO,  ,,,,118:57 ,(7),,disq ,
,Ivana Kuzmanić ,W45 ,OK Japetic,CRO,  ,dns ,,,72:42 ,(2),,disq ,
,Mirjana Horvat ,W45 ,OK Maksimir,CRO,  ,,,,138:02 ,(9),,disq ,
,Srebrenka Vuk ,W45 ,OK Kapela,CRO,  ,dns ,,,,,,disq ,
,Daliborka Pavlin ,W45 ,OK Vihor,CRO,  ,,,,dns ,,,disq ,
,Marija Gradečak Galović ,W45 ,OK Kapela,CRO,  ,,,,162:18 ,(11),,disq ,
,Nataša Kolarek ,W45 ,OK Vihor,CRO,  ,,,,113:25 ,(6),,disq ,
,Željka Miljković ,W45 ,OK Vihor,CRO,  ,dns ,,,dns ,,,disq ,
,Beata Adrianna Glinska ,W45 ,OK Kapela,CRO,  ,,,,100:41 ,(4),,disq ,
,Bojana Nikolić ,W45 ,OK Vihor,CRO,  ,52:47 ,(1),,,,,disq ,
,Ana-Marija Pavić ,W45 ,OK Vihor,CRO,  ,,,,130:14 ,(8),,disq ,
,,,,,,,,,,,,,
W55,,,,,,,,,,,,,
1.,Branka Fabek ,W55 ,OK Japetic,CRO,  ,57:59 ,(1),,71:15 ,(2),,129:14 ,
,Alida Sokolović ,W55 ,OK Bjelovar,CRO,  ,116:21 ,(2),,,,,disq ,
,Maja Cvitković ,W55 ,OK Vihor,CRO,  ,,,,67:43 ,(1),,disq ,
,Emilija Ebenspanger ,W55 ,OK Kapela,CRO,  ,,,,75:46 ,(3),,disq ,
,,,,,,,,,,,,,
W65,,,,,,,,,,,,,
1.,Vera Franc ,W65 ,OK Kapela,CRO,  ,85:22 ,(1),,126:25 ,(3),,211:47 ,
,Željka Vendler Čepelak ,W65 ,OK Maksimir,CRO,  ,dns ,,,106:14 ,(1),,disq ,
,Biserka Horvat-Nikšić ,W65 ,OK Vihor,CRO,  ,,,,110:21 ,(2),,disq ,
