M12,,,,,,,,,,
1.,Dora Vukelić ,Ž16 ,OK Maksimir,CRO,,32:28 ,(1),,32:28 ,
2.,Zdenka Petra Štambuk ,Ž16 ,OK Ivan Merz,CRO,,32:29 ,(2),,32:29 ,+00:01
3.,Majda Vidaković ,Ž16 ,OK Kapela,CRO,,45:57 ,(3),,45:57 ,+13:29
4.,Mare Gršković ,Ž16 ,OK Kapela,CRO,,79:20 ,(4),,79:20 ,+46:52
5.,Nika Kolarek ,Ž16 ,OK Vihor,CRO,,93:30 ,(5),,93:30 ,+61:02
,Kimi Maria Gobec ,Ž16 ,OK Vihor,CRO,,dns ,,,disq ,
,Marta Nikolić ,Ž16 ,OK Vihor,CRO,,mp ,,,disq ,
,,,,,,,,,,
Ž20,,,,,,,,,,
1.,Paula Pavlin ,Ž20 ,OK Vihor,CRO,,28:32 ,(1),,28:32 ,
,Dora Kermek ,Ž20 ,OK Ivan Merz,CRO,,dns ,,,disq ,
,Ana Srebačić ,Ž20 ,OK Ivan Merz,CRO,,dns ,,,disq ,
,,,,,,,,,,
Ž21A,,,,,,,,,,
1.,Vinka Vukmanović ,Ž21A ,OK Kapela,CRO,,32:21 ,(1),,32:21 ,
2.,Mirja Pavić ,Ž21A ,OK Japetić,CRO,,40:50 ,(2),,40:50 ,+08:29
3.,Iva Štambuk ,Ž21A ,OK Maksimir,CRO,,42:34 ,(3),,42:34 ,+10:13
4.,Tena Sakar Vukić ,Ž21A ,OK Maksimir,CRO,,44:43 ,(4),,44:43 ,+12:22
5.,Olga Jerković Perić ,Ž21A ,OK Kapela,CRO,,45:45 ,(5),,45:45 ,+13:24
6.,Nevija Frajzman ,Ž21A ,OK Jelen,CRO,,46:11 ,(6),,46:11 ,+13:50
7.,Ana Tišljar ,Ž21A ,OK Maksimir,CRO,,49:03 ,(7),,49:03 ,+16:42
8.,Jelena Brezak ,Ž21A ,OK Kapela,CRO,,58:05 ,(8),,58:05 ,+25:44
9.,Monika Martina Sipina Halper ,Ž21A ,OK Jelen,CRO,,62:02 ,(9),,62:02 ,+29:41
10.,Ana Beblek ,Ž21A ,OK Jelen,CRO,,66:35 ,(10),,66:35 ,+34:14
11.,Ines Kos ,Ž21A ,OK Kapela,CRO,,74:36 ,(11),,74:36 ,+42:15
,,,,,,,,,,
Ž21B,,,,,,,,,,
